Name,Level,Order,Type,Object,Time,TileXSize,TileYSize,Variability,Columns,Rows,MultipleX,MultipleY,CladdingSeed,OpeningSeed,MargeX,UpperMargin,LowerMargin,MinOpeningHeight,MinOpeningWidth,DoorNumber,Max,Total,CV
Luca,324332103,0,Tot,0,262.0,32.0,32.0,21.0,19.0,13.0,19.0,19.0,25.0,59.0,15.0,17.0,11.0,20.0,20.0,12.0,59.0,334.0,0.5352921660523716
Luca,324332103,0,Average,0,29.11111111111111,3.5555555555555554,3.5555555555555554,2.3333333333333335,2.111111111111111,1.4444444444444444,2.111111111111111,2.111111111111111,2.7777777777777777,6.555555555555555,1.6666666666666667,1.8888888888888888,1.2222222222222223,2.2222222222222223,2.2222222222222223,1.3333333333333333,6.555555555555555,37.111111111111114,0.5352921660523714
Luca,324332103,0,Standard Deviation,0,30.530494773441045,6.023103666530885,3.8441875315569316,2.345207879911715,0.927960727138337,1.0137937550497031,1.69148192751537,1.5365907428821481,2.5873624493766707,6.105553028004735,1.3228756555322951,1.7638342073763937,0.4409585518440984,3.666666666666666,2.279132388529557,0.7071067811865476,6.105553028004735,36.25581595910205,0.735132917810703
Brice,505122002,1,Grasshopper,2,174.0,1.0,1.0,8.0,4.0,4.0,1.0,1.0,1.0,49.0,11.0,4.0,8.0,7.0,9.0,5.0,49.0,114.0,1.5693631424034615
Brice,505122002,1,Grasshopper,3,76.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,8.0,23.0,4.0,6.0,4.0,5.0,7.0,3.0,23.0,74.0,1.1035313715757058
Brice,505122002,1,Grasshopper,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0
Brice,505122002,3,Hybrid,2,47.0,8.0,1.0,7.0,3.0,3.0,3.0,5.0,1.0,2.0,5.0,1.0,1.0,3.0,7.0,3.0,8.0,53.0,0.6668912469885725
Brice,505122002,3,Hybrid,3,27.0,8.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,6.0,1.0,5.0,2.0,2.0,8.0,40.0,0.8100925873009827
Brice,505122002,3,Hybrid,4,22.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,32.0,0.7488830969231065
Brice,505122002,2,Plugin,2,49.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,10.0,7.0,2.0,1.0,3.0,1.0,1.0,2.0,10.0,42.0,0.9075324569126187
Brice,505122002,2,Plugin,3,22.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,11.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,11.0,32.0,1.1734364597199118
Brice,505122002,2,Plugin,4,16.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,30.0,1.224744871391589
Brice,505122002,0,Tot,0,434.0,27.0,12.0,23.0,20.0,20.0,18.0,19.0,44.0,95.0,32.0,23.0,22.0,25.0,31.0,21.0,95.0,432.0,0.6863616919190921
Brice,505122002,0,Average,0,48.22222222222222,3.0,1.3333333333333333,2.5555555555555554,2.2222222222222223,2.2222222222222223,2.0,2.111111111111111,4.888888888888889,10.555555555555555,3.5555555555555554,2.5555555555555554,2.4444444444444446,2.7777777777777777,3.4444444444444446,2.3333333333333335,10.555555555555555,48.0,0.6863616919190921
